"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/27/2024 01:12:56:877 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","mean [age] of turtles"
"165","5","1","1.7","no-visualization","500","300","2.064","4","0.4947853113593623","34.036"
"167","7","1","1.7","no-visualization","500","300","2.216","4","0.503603538104175","34.77"
"168","8","1","1.7","no-visualization","500","300","2.322","4","0.5152959794696322","32.214"
"166","6","1","1.7","no-visualization","500","300","2.154","4","0.49320069033753283","34.104"
"169","9","1","1.7","no-visualization","500","300","2.456","4","0.5011493592433583","34.758"
"171","1","1","1.8","no-visualization","500","300","1","4","0.30549354223265535","44.91"
"170","10","1","1.7","no-visualization","500","300","2.512","4","0.5290796253264015","34.08"
"172","2","1","1.8","no-visualization","500","300","1.456","4","0.34895356443625475","42.976"
"173","3","1","1.8","no-visualization","500","300","1.9","4","0.4655763122519777","41.494"
"178","8","1","1.8","no-visualization","500","300","2.39","4","0.5211952835723286","32.812"
"174","4","1","1.8","no-visualization","500","300","1.978","4","0.4717695089455657","38.596"
"175","5","1","1.8","no-visualization","500","300","2.062","4","0.4820616765259478","35.482"
"177","7","1","1.8","no-visualization","500","300","2.172","4","0.504739695739696","35.796"
"180","10","1","1.8","no-visualization","500","300","2.4","4","0.5185122734037404","32.578"
"181","1","1","1.9","no-visualization","500","300","1","4","0.3304761081680176","43.75"
"179","9","1","1.8","no-visualization","500","300","2.48","4","0.5032200424705194","32.476"
"176","6","1","1.8","no-visualization","500","300","2.09","4","0.49453760942760955","35.946"
"182","2","1","1.9","no-visualization","500","300","1.474","4","0.36213844323003014","42.054"
"183","3","1","1.9","no-visualization","500","300","1.886","4","0.46277833734438595","40.63"
"186","6","1","1.9","no-visualization","500","300","2.22","4","0.4942163152904239","35.086"
"187","7","1","1.9","no-visualization","500","300","2.234","4","0.5029455720292101","33.886"
"185","5","1","1.9","no-visualization","500","300","2.026","4","0.47770232845729527","35.642"
"184","4","1","1.9","no-visualization","500","300","1.938","4","0.4566222963830801","36.146"
"188","8","1","1.9","no-visualization","500","300","2.328","4","0.5014330104278009","34.842"
"189","9","1","1.9","no-visualization","500","300","2.446","4","0.5083956873407842","33.678"
"190","10","1","1.9","no-visualization","500","300","2.58","4","0.5150015991256321","31.046"
"192","2","1","2","no-visualization","500","300","1.478","4","0.38974242070895576","43.098"
"193","3","1","2","no-visualization","500","300","1.882","4","0.4477767999393061","40.786"
"191","1","1","2","no-visualization","500","300","1","4","0.3824053144890006","42.47"
"194","4","1","2","no-visualization","500","300","1.98","4","0.47321787011364036","37.244"
"195","5","1","2","no-visualization","500","300","2.094","4","0.4859265034346157","35.22"
"196","6","1","2","no-visualization","500","300","2.192","4","0.49668574545759747","34.644"
"198","8","1","2","no-visualization","500","300","2.316","4","0.4869975329646961","31.598"
"199","9","1","2","no-visualization","500","300","2.408","4","0.5112440770410775","31.71"
"200","10","1","2","no-visualization","500","300","2.668","4","0.5302530682800342","33.172"
"197","7","1","2","no-visualization","500","300","2.264","4","0.48300750249360314","34.658"
"201","1","1","0.1","no-visualization","500","300","1","4","0.4002040997229917","14.548"
"207","7","1","0.1","no-visualization","500","300","2.594","4","0.3908713517038969","8.128"
"205","5","1","0.1","no-visualization","500","300","2.016","4","0.3882846028359897","9.544"
"202","2","1","0.1","no-visualization","500","300","1.292","4","0.4057835378464085","12.512"
"206","6","1","0.1","no-visualization","500","300","2.232","4","0.391708839841539","9.722"
"204","4","1","0.1","no-visualization","500","300","1.8","4","0.38087133669990103","10.234"
"203","3","1","0.1","no-visualization","500","300","1.508","4","0.37198937089526446","11.118"
"210","10","1","0.1","no-visualization","500","300","2.998","4","0.3898270294280952","8.13"
"211","1","1","0.2","no-visualization","500","300","1","4","0.31092564659136873","35.26"
"213","3","1","0.2","no-visualization","500","300","1.388","4","0.3356247805563142","26.586"
"216","6","1","0.2","no-visualization","500","300","1.748","4","0.3472641090806404","25.186"
"219","9","1","0.2","no-visualization","500","300","2.24","4","0.3410117069051544","23.02"
"217","7","1","0.2","no-visualization","500","300","1.952","4","0.3503944416013851","24.956"
"218","8","1","0.2","no-visualization","500","300","2.058","4","0.33136713113189564","23.424"
"220","10","1","0.2","no-visualization","500","300","2.288","4","0.36067475687806416","24.19"
"223","3","1","0.3","no-visualization","500","300","1.336","4","0.2785893628932932","32.418"
"221","1","1","0.3","no-visualization","500","300","1","4","0.19948413366481957","44.128"
"222","2","1","0.3","no-visualization","500","300","1.182","4","0.2568619132398273","34.316"
"224","4","1","0.3","no-visualization","500","300","1.458","4","0.2755992072770186","32.192"
"225","5","1","0.3","no-visualization","500","300","1.622","4","0.2833422240459584","29.748"
"227","7","1","0.3","no-visualization","500","300","1.888","4","0.2930044118912141","27.102"
"226","6","1","0.3","no-visualization","500","300","1.698","4","0.29263994513095326","28.8"
"209","9","1","0.1","no-visualization","500","300","2.954","4","0.3986120810055871","7.898"
"208","8","1","0.1","no-visualization","500","300","2.734","4","0.3731794452101999","8.234"
"229","9","1","0.3","no-visualization","500","300","2.098","4","0.33240710858874284","27.44"
"212","2","1","0.2","no-visualization","500","300","1.142","4","0.35269538511274534","32.908"
"228","8","1","0.3","no-visualization","500","300","2.06","4","0.2984749256498859","27.4"
"233","3","1","0.4","no-visualization","500","300","1.406","4","0.3199624879375386","31.914"
"214","4","1","0.2","no-visualization","500","300","1.472","4","0.34205608596652365","27.242"
"230","10","1","0.3","no-visualization","500","300","2.168","4","0.31200545886356373","27.806"
"236","6","1","0.4","no-visualization","500","300","1.782","4","0.3395044612216884","29.95"
"235","5","1","0.4","no-visualization","500","300","1.608","4","0.35187666948747187","30.002"
"239","9","1","0.4","no-visualization","500","300","2.094","4","0.36046825026590285","28.472"
"238","8","1","0.4","no-visualization","500","300","1.956","4","0.34306926511179825","28.77"
"241","1","1","0.5","no-visualization","500","300","1","4","0.22937723302897964","42.932"
"215","5","1","0.2","no-visualization","500","300","1.576","4","0.3241186265958291","27.882"
"240","10","1","0.4","no-visualization","500","300","2.292","4","0.37733005778074763","24.772"
"243","3","1","0.5","no-visualization","500","300","1.472","4","0.421221995310491","31.162"
"242","2","1","0.5","no-visualization","500","300","1.312","4","0.38520967796438366","34.248"
"246","6","1","0.5","no-visualization","500","300","1.828","4","0.4386753440495282","29.418"
"245","5","1","0.5","no-visualization","500","300","1.728","4","0.45756180312201356","30.57"
"248","8","1","0.5","no-visualization","500","300","2.084","4","0.4551940439612381","28.152"
"247","7","1","0.5","no-visualization","500","300","2.042","4","0.45263696082310995","28.726"
"250","10","1","0.5","no-visualization","500","300","2.39","4","0.4691785530432026","27.564"
"231","1","1","0.4","no-visualization","500","300","1","4","0.19816865070776185","43.864"
"251","1","1","0.6","no-visualization","500","300","1","4","0.24277156724596827","43.608"
"249","9","1","0.5","no-visualization","500","300","2.214","4","0.4575471879892416","26.796"
"252","2","1","0.6","no-visualization","500","300","1.468","4","0.43259892034033315","39.9"
"256","6","1","0.6","no-visualization","500","300","1.792","4","0.4823022481941399","34.322"
"254","4","1","0.6","no-visualization","500","300","1.656","4","0.4763601348492496","35.216"
"257","7","1","0.6","no-visualization","500","300","1.986","4","0.49127462213554285","31.972"
"255","5","1","0.6","no-visualization","500","300","1.734","4","0.4704627501876806","36.416"
"234","4","1","0.4","no-visualization","500","300","1.562","4","0.3490642201834859","27.642"
"259","9","1","0.6","no-visualization","500","300","2.106","4","0.4865566387714603","30.456"
"262","2","1","0.7","no-visualization","500","300","1.486","4","0.4270546926109688","42.24"
"258","8","1","0.6","no-visualization","500","300","2.124","4","0.48492636417280016","32.34"
"260","10","1","0.6","no-visualization","500","300","2.248","4","0.48824060491984134","30.682"
"263","3","1","0.7","no-visualization","500","300","1.612","4","0.43850604870384874","36.216"
"237","7","1","0.4","no-visualization","500","300","1.878","4","0.35306087984775403","27.182"
"266","6","1","0.7","no-visualization","500","300","1.904","4","0.46601729134941333","32.328"
"264","4","1","0.7","no-visualization","500","300","1.732","4","0.4610951378152156","35.248"
"265","5","1","0.7","no-visualization","500","300","1.768","4","0.4699484865945006","36.412"
"268","8","1","0.7","no-visualization","500","300","2.094","4","0.4727971561559859","33.274"
"232","2","1","0.4","no-visualization","500","300","1.24","4","0.30392847985030685","32.704"
"271","1","1","0.8","no-visualization","500","300","1","4","0.24087776369168387","45.042"
"269","9","1","0.7","no-visualization","500","300","2.174","4","0.4840990962739117","32.566"
"270","10","1","0.7","no-visualization","500","300","2.326","4","0.4818930313360906","33.65"
"273","3","1","0.8","no-visualization","500","300","1.626","4","0.4215848328491523","38.068"
"276","6","1","0.8","no-visualization","500","300","1.846","4","0.44186340601608626","34.608"
"244","4","1","0.5","no-visualization","500","300","1.598","4","0.4350689642366403","30.216"
"274","4","1","0.8","no-visualization","500","300","1.75","4","0.43112856776120717","32.88"
"275","5","1","0.8","no-visualization","500","300","1.788","4","0.4376499850430426","36.158"
"277","7","1","0.8","no-visualization","500","300","1.988","4","0.4440939093353111","33.598"
"281","1","1","0.9","no-visualization","500","300","1","4","0.2680528273347932","43.764"
"279","9","1","0.8","no-visualization","500","300","2.38","4","0.46888497875933066","31.268"
"280","10","1","0.8","no-visualization","500","300","2.242","4","0.4494088042956916","32.554"
"282","2","1","0.9","no-visualization","500","300","1.484","4","0.35736991577219984","43.616"
"285","5","1","0.9","no-visualization","500","300","1.95","4","0.44766757088967063","33.632"
"253","3","1","0.6","no-visualization","500","300","1.584","4","0.4585075856799826","38.21"
"283","3","1","0.9","no-visualization","500","300","1.674","4","0.41523479840540983","36.152"
"284","4","1","0.9","no-visualization","500","300","1.712","4","0.42536812196603424","35.446"
"286","6","1","0.9","no-visualization","500","300","1.848","4","0.44008615234850323","34.578"
"261","1","1","0.7","no-visualization","500","300","1","4","0.24353323131703997","43.262"
"290","10","1","0.9","no-visualization","500","300","2.278","4","0.47502420167886","31.718"
"292","2","1","1","no-visualization","500","300","1.418","4","0.3611977725278432","41.89"
"289","9","1","0.9","no-visualization","500","300","2.232","4","0.46491373433209005","32.262"
"288","8","1","0.9","no-visualization","500","300","2.184","4","0.44092928888253","31.018"
"293","3","1","1","no-visualization","500","300","1.668","4","0.4263904888495052","36.616"
"296","6","1","1","no-visualization","500","300","1.902","4","0.4566573028189766","36.372"
"294","4","1","1","no-visualization","500","300","1.684","4","0.43244843607798106","35.176"
"295","5","1","1","no-visualization","500","300","1.926","4","0.4435423093873951","33.306"
"297","7","1","1","no-visualization","500","300","2.006","4","0.4489921404511586","33.006"
"300","10","1","1","no-visualization","500","300","2.234","4","0.45148242675599504","32.912"
"299","9","1","1","no-visualization","500","300","2.206","4","0.476155041234371","31.846"
"298","8","1","1","no-visualization","500","300","2.09","4","0.4691003178904581","33.426"
"267","7","1","0.7","no-visualization","500","300","1.962","4","0.4540622904954206","34.394"
"301","1","1","1.1","no-visualization","500","300","1","4","0.2861534723044862","44.164"
"305","5","1","1.1","no-visualization","500","300","1.848","4","0.4551190297443422","32.65"
"302","2","1","1.1","no-visualization","500","300","1.49","4","0.38737297292040507","41.652"
"303","3","1","1.1","no-visualization","500","300","1.618","4","0.4359497175883357","37.152"
