"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/26/2024 11:18:31:264 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"141","1","1","1.5","no-visualization","500","300","500","1","3.498","0.34394144539955446","true"
"139","9","1","1.4","no-visualization","500","300","500","2.272","3.778","0.49039530656089947","true"
"143","3","1","1.5","no-visualization","500","300","500","1.896","3.81","0.4743375211403723","true"
"142","2","1","1.5","no-visualization","500","300","500","1.472","3.576","0.3657269835387138","true"
"144","4","1","1.5","no-visualization","500","300","500","1.966","3.77","0.47385907954972667","true"
"145","5","1","1.5","no-visualization","500","300","500","2.032","3.714","0.496165215564529","true"
"146","6","1","1.5","no-visualization","500","300","500","2.136","3.722","0.49218363574118434","true"
"147","7","1","1.5","no-visualization","500","300","500","2.222","3.712","0.5062255516462006","true"
"148","8","1","1.5","no-visualization","500","300","500","2.468","3.694","0.5259393201914493","true"
"149","9","1","1.5","no-visualization","500","300","500","2.346","3.652","0.513575304833968","true"
"150","10","1","1.5","no-visualization","500","300","500","2.598","3.716","0.5384355139245601","true"
"151","1","1","1.6","no-visualization","500","300","500","1","3.626","0.3350746548003281","true"
"152","2","1","1.6","no-visualization","500","300","500","1.506","3.55","0.36920096496748445","true"
"153","3","1","1.6","no-visualization","500","300","500","1.808","3.81","0.4623573597728133","true"
"154","4","1","1.6","no-visualization","500","300","500","1.97","3.742","0.48894596814513236","true"
"156","6","1","1.6","no-visualization","500","300","500","2.14","3.64","0.4908005098789037","true"
"155","5","1","1.6","no-visualization","500","300","500","2.052","3.704","0.49085817508105617","true"
"158","8","1","1.6","no-visualization","500","300","500","2.358","3.726","0.4985253934296507","true"
"157","7","1","1.6","no-visualization","500","300","500","2.256","3.802","0.5067319502682515","true"
"159","9","1","1.6","no-visualization","500","300","500","2.46","3.65","0.5229872167938796","true"
"160","10","1","1.6","no-visualization","500","300","500","2.514","3.716","0.5172564742438222","true"
"161","1","1","1.7","no-visualization","500","300","500","1","3.522","0.3309819055462689","true"
"162","2","1","1.7","no-visualization","500","300","500","1.474","3.646","0.3594902558314521","true"
"163","3","1","1.7","no-visualization","500","300","500","1.848","3.712","0.4561595412261902","true"
"164","4","1","1.7","no-visualization","500","300","500","1.948","3.698","0.4716312645853328","true"
"165","5","1","1.7","no-visualization","500","300","500","2.122","3.494","0.5025625646521595","true"
"166","6","1","1.7","no-visualization","500","300","500","2.198","3.768","0.5035513608996832","true"
"167","7","1","1.7","no-visualization","500","300","500","2.302","3.87","0.5003938044566908","true"
"168","8","1","1.7","no-visualization","500","300","500","2.51","3.824","0.5182642561263593","true"
"170","10","1","1.7","no-visualization","500","300","500","2.478","3.764","0.5203219165246645","true"
"169","9","1","1.7","no-visualization","500","300","500","2.324","3.604","0.5097865949842474","true"
"171","1","1","1.8","no-visualization","500","300","500","1","3.626","0.3309213346011381","true"
"172","2","1","1.8","no-visualization","500","300","500","1.462","3.642","0.363468215783409","true"
"173","3","1","1.8","no-visualization","500","300","500","1.856","3.858","0.46381162881186494","true"
"174","4","1","1.8","no-visualization","500","300","500","1.946","3.868","0.4588970963839226","true"
"175","5","1","1.8","no-visualization","500","300","500","2.05","3.76","0.49883748687810453","true"
"177","7","1","1.8","no-visualization","500","300","500","2.19","3.686","0.5087837769283919","true"
"179","9","1","1.8","no-visualization","500","300","500","2.44","3.768","0.51312917562724","true"
"176","6","1","1.8","no-visualization","500","300","500","2.138","3.812","0.4921744594963816","true"
"178","8","1","1.8","no-visualization","500","300","500","2.46","3.726","0.5122726289849705","true"
"181","1","1","1.9","no-visualization","500","300","500","1","3.644","0.3469814510404604","true"
"180","10","1","1.8","no-visualization","500","300","500","2.648","3.678","0.5249769779236553","true"
"182","2","1","1.9","no-visualization","500","300","500","1.458","3.632","0.35575547010867137","true"
"183","3","1","1.9","no-visualization","500","300","500","1.914","3.766","0.4607318062770184","true"
"184","4","1","1.9","no-visualization","500","300","500","1.914","3.638","0.4724437306989163","true"
"185","5","1","1.9","no-visualization","500","300","500","2.106","3.77","0.49945180818581336","true"
"188","8","1","1.9","no-visualization","500","300","500","2.458","3.82","0.5069784973855613","true"
