"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/25/2024 22:08:12:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"241","1","1","0.25","no-visualization","500","300","500","1","3.676","0.2574334100204496","true"
"238","8","1","2","no-visualization","500","300","500","2.376","3.652","0.5214615972315848","true"
"240","10","1","2","no-visualization","500","300","500","2.49","3.892","0.5203576867295144","true"
"242","2","1","0.25","no-visualization","500","300","500","1.15","3.668","0.2688763521384589","true"
"244","4","1","0.25","no-visualization","500","300","500","1.48","3.63","0.2955200342832655","true"
"243","3","1","0.25","no-visualization","500","300","500","1.304","3.512","0.2882989404382264","true"
"245","5","1","0.25","no-visualization","500","300","500","1.538","3.604","0.29742646638054354","true"
"247","7","1","0.25","no-visualization","500","300","500","1.902","3.53","0.30029452179286786","true"
"246","6","1","0.25","no-visualization","500","300","500","1.762","3.56","0.3009758189750795","true"
"248","8","1","0.25","no-visualization","500","300","500","1.874","3.658","0.30631334553414435","true"
"251","1","1","0.5","no-visualization","500","300","500","1","3.61","0.252698012232416","true"
"249","9","1","0.25","no-visualization","500","300","500","2.144","3.656","0.3104153029470985","true"
"253","3","1","0.5","no-visualization","500","300","500","1.454","3.65","0.42756502983679623","true"
"252","2","1","0.5","no-visualization","500","300","500","1.36","3.698","0.4087382292381605","true"
"254","4","1","0.5","no-visualization","500","300","500","1.634","3.756","0.44607369561851723","true"
"250","10","1","0.25","no-visualization","500","300","500","2.278","3.512","0.3133186003683246","true"
"255","5","1","0.5","no-visualization","500","300","500","1.7","3.84","0.4544474532033772","true"
"257","7","1","0.5","no-visualization","500","300","500","1.918","3.748","0.4533670606776995","true"
